Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;Categoria2;Inclinacao;CoordenadaX;CoordenadaY;Observacao
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;5;3;1;43.1;26;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;4;1;1;46.6;25.1;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;5;4;1;52;26.1;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;5;6;1;46.8;27.1;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;5;7;1;47.8;26.9;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;1;1;;;FALHA;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;2;1;49.6;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;3;1;47;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;4;1;53.4;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;5;1;46.1;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;6;6;1;53.1;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;7;1;1;47;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;7;2;1;46.4;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;5;5;1;51.3;28.9;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;6;1;49.5;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;5;1;54.8;29.7;DOMINANTE;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;4;1;51.3;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;6;2;1;53;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;6;3;1;53.1;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;6;4;1;42.7;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;6;5;1;42.8;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;6;6;1;47.2;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;7;1;1;51.5;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;7;2;1;50.1;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;7;3;1;55;;NORMAL;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;7;4;1;;;FALHA;;0;-5397222122;-2050333233;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;1;1;1;49;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;1;2;1;46.8;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;1;3;1;51.7;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;1;4;1;54.2;28.2;DOMINANTE;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;1;5;1;41.6;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;1;1;49.6;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;2;1;57.8;29.6;DOMINANTE;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;3;1;;;FALHA;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;4;1;;;FALHA;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;5;1;53.8;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;2;6;1;51.6;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;1;1;54;28.5;DOMINANTE;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;2;1;52.2;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_018;400;01/06/2010;26/09/2018;3;3;1;47.3;;NORMAL;;0;-5397497149;-2050321174;
T-7;P-7;IFC_12_017;400;01/06/2010;26/09/2018;5;7;1;53.6;28.9;NORMAL;;0;-5397222122;-2050333233;
T-6;P-6;IFC_12_009;400;01/05/2010;26/09/2018;7;4;1;44.7;;NORMAL;;0;-5398060813;-2049547616;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;4;5;1;48.8;26.9;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;4;3;1;48.7;28.1;NORMAL;;0;-539763736;-2050202237;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;3;1;42.3;24.7;TORTUOSA;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;4;1;59.9;29.9;DOMINANTE;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;5;1;54.8;29.5;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;6;1;48;26.4;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;7;1;51;29.3;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;1;1;43.7;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;2;1;53.7;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;3;1;49.3;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;4;1;48.3;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;5;1;55.8;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;2;1;56.7;31.1;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;6;6;1;54.2;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;7;2;1;50.3;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;7;3;1;48.7;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;7;4;1;50.7;;NORMAL;;0;-5398228551;-2049547616;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;1;1;1;54.7;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;1;2;1;55.3;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;1;3;1;37.6;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;1;4;1;41.7;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;1;1;51.2;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;2;1;45.4;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;3;1;41.7;;TORTUOSA;;0;-5397437435;-2050204247;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;7;1;1;42;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;5;1;1;58.8;32.4;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;8;1;47;27.2;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;7;1;47.8;27.8;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;1;1;1;59.2;30.9;DOMINANTE;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;1;2;1;56.8;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;1;3;1;48.2;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;1;4;1;59.8;31.2;DOMINANTE;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;1;1;54.3;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;2;1;26.9;;MORTA;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;3;1;48.5;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;4;1;;;FALHA;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;5;1;47.6;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;2;6;1;49.3;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;1;1;59.4;;TORTUOSA;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;2;1;55.8;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;3;1;48;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;4;1;56;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;5;1;51.2;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;6;1;44.5;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;3;7;1;54.4;;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;1;1;51;30.3;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;2;1;50.5;28.6;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;3;1;58.9;32.3;DOMINANTE;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;4;1;45.5;22.4;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;5;1;48;28.1;NORMAL;;0;-5398228551;-2049547616;
T-6;P-6;IFC_12_010;400;01/05/2010;26/09/2018;4;6;1;53.7;29.6;NORMAL;;0;-5398228551;-2049547616;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;4;1;47;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;4;4;1;48.5;26.8;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;5;1;37.8;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;1;1;46.7;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;7;3;1;53;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;7;4;1;49.8;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;1;1;1;48.1;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;1;2;1;47.9;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;1;3;1;50;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;1;4;1;42.9;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;1;5;1;49;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;1;1;50.1;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;2;1;46.1;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;3;1;47.9;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;7;2;1;47.3;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;4;1;48.7;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;6;1;51.1;;NORMAL;;0;-539763736;-2050202237;
